Who?	('<SOS>', 'को?', '<EOS>')
The tickets I bought are non-refundable.	('<SOS>', 'मैले किनेका टिकटहरू फिर्ता हुदैनन्।', '<EOS>')
There are some empty bottles in the box.	('<SOS>', 'बाकसमा खाली बोतलहरु छन्।', '<EOS>')
Tom couldn't read until he was thirteen.	('<SOS>', 'टमले तेह्र वर्षको नहुँदासम्म पढ्न सकेनन्।', '<EOS>')
Tom doesn't have a girlfriend right now.	('<SOS>', 'टमको अहिले कुनै प्रेमिका छैन।', '<EOS>')
Tom has asked me to lend him some money.	('<SOS>', 'टमले मलाई केही पैसा उधारो दिन आग्रह गरेको छ।', '<EOS>')
Tom is a billionaire, not a millionaire.	('<SOS>', 'टम अर्बपति हो, करोडपति होइन।', '<EOS>')
Tom is all alone with no one to talk to.	('<SOS>', 'टम एक्लै छ जससँग कुरा गर्न कोही छैन।', '<EOS>')
Tom isn't here. Do you know where he is?	('<SOS>', 'टम यहाँ छैन। ऊ कहाँ छ थाहा छ?', '<EOS>')
Tom probably went to his friend's house.	('<SOS>', 'टम सायद साथीको घरमा गएको छ।', '<EOS>')
Tom showed Mary where he kept his money.	('<SOS>', 'टमले मेरीलाई आफ्नो पैसा कहाँ राखेको देखाए ।', '<EOS>')
Tom will never forgive us if we do that.	('<SOS>', 'यदि हामीले त्यसो गर्यौं भने टमले हामीलाई कहिल्यै माफ गर्नेछैन।', '<EOS>')
We have a dog, a cat and three canaries.	('<SOS>', 'हामीसँग एउटा कुकुर, एउटा बिरालो र तीनवटा क्यानरीहरू छन्।', '<EOS>')
You don't need to finish it by tomorrow.	('<SOS>', 'तपाईंले यसलाई भोलिसम्म पूरा गर्न आवश्यक छैन।', '<EOS>')
You may come visit whenever you want to.	('<SOS>', 'तपाईले चाहानु भएको बेला घुम्न आउन सक्नुहुन्छ।', '<EOS>')
You'd better stay in bed for a few days.	('<SOS>', 'तपाईं केही दिन ओछ्यानमै बस्नु राम्रो हुन्छ।', '<EOS>')
A lot of companies will do that nowadays.	('<SOS>', 'आजकल धेरै कम्पनीहरूले त्यसो गर्नेछन्।', '<EOS>')
How many times a week do you take a bath?	('<SOS>', 'तपाईं हप्तामा कति पटक नुहाउनुहुन्छ?', '<EOS>')
I don't feel like studying English today.	('<SOS>', 'आज मलाई अंग्रेजी पढ्न मन लागेको छैन।', '<EOS>')
I don't know how long it's going to take.	('<SOS>', 'मलाई थाहा छैन यसले कति समय लिन्छ।', '<EOS>')
I don't think I'll ever understand women.	('<SOS>', 'मलाई लाग्दैन कि मैले महिलालाई कहिल्यै बुझ्नेछु।', '<EOS>')
I don't want to go to Australia with you.	('<SOS>', 'म तिमीसँग अस्ट्रेलिया जान चाहन्न।', '<EOS>')
I first met Tom when he was 13 years old.	('<SOS>', 'मैले पहिलो पटक टमलाई ऊ १३ वर्षको हुँदा भेटेको थिएँ।', '<EOS>')
I think you've got a really bad attitude.	('<SOS>', 'मलाई लाग्छ कि तपाईंले साँच्चै नराम्रो मनोवृत्ति पाउनुभएको छ।', '<EOS>')
I waited by myself in front of the hotel.	('<SOS>', 'म होटल अगाडि एक्लै पर्खिरहेको थिएँ ।', '<EOS>')
I want to become a doctor like my father.	('<SOS>', 'म मेरो बुबा जस्तै डाक्टर बन्न चाहन्छु।', '<EOS>')
I want to get out of the car and stretch.	('<SOS>', 'म कारबाट बाहिर निस्कन र जिउ तन्काउन चाहन्छु।', '<EOS>')
I'd like a room facing the ocean instead.	('<SOS>', 'म यसको सट्टा समुद्रतिर फर्केको कोठा चाहन्छु।', '<EOS>')
I'll be with Tom all next week in Boston.	('<SOS>', 'म अर्को हप्ता बोस्टनमा टमसँग हुनेछु।', '<EOS>')
It was difficult to answer that question.	('<SOS>', 'त्यो प्रश्नको जवाफ दिन गाह्रो भयो।', '<EOS>')
It's fun to learn about foreign cultures.	('<SOS>', 'विदेशी संस्कृतिको बारेमा जान्न पाउँदा रमाइलो हुन्छ।', '<EOS>')
It's fun to learn about foreign cultures.	('<SOS>', 'विदेशी संस्कृतिको बारेमा जान्न रमाइलो हुन्छ।', '<EOS>')
Many Japanese travel overseas every year.	('<SOS>', 'हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्।', '<EOS>')
Mary wore a strapless dress to the party.	('<SOS>', 'मेरीले पार्टीमा स्ट्र्यापलेस पोशाक लगाएकी थिइन्।', '<EOS>')
My mother is strict, but my father isn't.	('<SOS>', 'मेरी आमा कडा हुनुहुन्छ, तर बुबा त्यस्तो हुनुहुन्न।', '<EOS>')
Thank you for teaching me so many things.	('<SOS>', 'मलाई धेरै कुरा सिकाउनु भएकोमा धन्यवाद।', '<EOS>')
The truth can be more painful than a lie.	('<SOS>', 'सत्य झूट भन्दा धेरै पीडादायी हुन सक्छ।', '<EOS>')
The young man that you saw is my brother.	('<SOS>', 'तिमीले देखेको युवक मेरो भाइ हो।', '<EOS>')
There is a suspension bridge ahead of us.	('<SOS>', 'हाम्रो अगाडि एउटा झोलुङ्गे पुल छ।', '<EOS>')
There's a beautiful bridge over the pond.	('<SOS>', 'त्यो पोखरीको वरिपरि सुन्दर पुल छ।', '<EOS>')
Tom and I danced together all night long.	('<SOS>', 'टम र म सँगै रातभर नाच्यौं।', '<EOS>')
Tom first came to Boston three years ago.	('<SOS>', 'टम पहिलो पटक तीन वर्ष पहिले बोस्टन आएका थिए।', '<EOS>')
Tom gave almost all his money to charity.	('<SOS>', 'टमले आफ्नो प्रायः सबै पैसा परोपकारलाई दिए।', '<EOS>')
Tom put himself and his children at risk.	('<SOS>', 'टमले आफू र आफ्ना छोराछोरीलाई जोखिममा राखे।', '<EOS>')
Tom told me that he hasn't done that yet.	('<SOS>', 'टमले मलाई भन्यो कि उसले त्यो अहिलेसम्म गरेको छैन।', '<EOS>')
Tom wasn't able to get the motor started.	('<SOS>', 'टम मोटर सुरु गर्न सक्षम थिएन।', '<EOS>')
Tom will be able to do what he has to do.	('<SOS>', 'टमले आफूले गर्नुपर्ने काम गर्न सक्षम हुनेछ।', '<EOS>')
We're beginning a long and difficult job.	('<SOS>', 'हामी लामो र कठिन काम सुरु गर्दैछौं।', '<EOS>')
What time did you go to sleep last night?	('<SOS>', 'हिजो राति कति बजे सुत्नु भएको थियो ?', '<EOS>')
Without me, you won't be able to do that.	('<SOS>', 'म बिना, तपाईं त्यो गर्न सक्षम हुनुहुने छैन।', '<EOS>')
Would it be OK if I turned off the radio?	('<SOS>', 'के म रेडियो बन्द गर्न सक्छु?', '<EOS>')
Would it be OK if I turned the radio off?	('<SOS>', 'के म रेडियो बन्द गर्न सक्छु?', '<EOS>')
Would you mind if I turned off the radio?	('<SOS>', 'के म रेडियो बन्द गर्न सक्छु?', '<EOS>')
Would you mind if I turned the radio off?	('<SOS>', 'के म रेडियो बन्द गर्न सक्छु?', '<EOS>')
You don't have to answer these questions.	('<SOS>', 'तपाईंले यी प्रश्नहरूको जवाफ दिनु पर्दैन।', '<EOS>')
"What time is it now?" "It's ten o'clock."	('<SOS>', '"अहिले कति बज्यो?" "दश बज्यो।"', '<EOS>')
A lot of people are starving in the world.	('<SOS>', 'विश्वमा धेरै मानिस भोकै छन्।', '<EOS>')
Cats were sacred animals in ancient Egypt.	('<SOS>', 'बिरालाहरू प्राचीन इजिप्टमा पवित्र जनावरहरू थिए।', '<EOS>')
Did I ever tell you why I moved to Boston?	('<SOS>', 'म किन बोस्टनमा सरेँ भनेर के मैले तपाईंलाई कहिल्यै बताएको छु?', '<EOS>')
Do you spend more time at home or at work?	('<SOS>', 'तपाई घरमा कि काममा धेरै समय बिताउनुहुन्छ?', '<EOS>')
Every year, many Japanese travel overseas.	('<SOS>', 'हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्।', '<EOS>')
He is the greatest singer that ever lived.	('<SOS>', 'उनी अहिलेसम्मकै उत्कृष्ट गायक हुन्।', '<EOS>')
How many languages can you speak fluently?	('<SOS>', 'तपाईं कतिवटा भाषाहरू सजिलै बोल्न सक्नुहुन्छ?', '<EOS>')
I haven't the faintest idea what you mean.	('<SOS>', 'तपाईले के भन्न खोज्दै हुनुहुन्छ मलाई केहि थाहा छैन।', '<EOS>')
I like rice, but I don't eat it every day.	('<SOS>', 'मलाई भात मनपर्छ, तर म हरेक दिन खान्न।', '<EOS>')
I really don't understand what's so funny.	('<SOS>', 'म साँच्चै बुझ्न सक्दिन कि यति हास्यास्पद के हो।', '<EOS>')
I'd like to stay here for a few more days.	('<SOS>', 'म अझै केही दिन यहाँ बस्न चाहन्छु।', '<EOS>')
I'll meet up with you guys this afternoon.	('<SOS>', 'म आज दिउँसो तपाईंहरूसँग भेट गर्नेछु।', '<EOS>')
I'm not the kind of person you think I am.	('<SOS>', 'म तिमीले सोचेको जस्तो मान्छे होइन।', '<EOS>')
I'm not used to making speeches in public.	('<SOS>', 'मलाई सार्वजनिक रूपमा भाषण गर्ने बानी छैन।', '<EOS>')
I'm really looking forward to Tom's visit.	('<SOS>', 'म साँच्चै टमको भ्रमणको लागि पर्खिरहेको छु।', '<EOS>')
I'm sure that Tom feels the same way I do.	('<SOS>', 'म पक्का छु कि टमले पनि मैले जस्तै महसुस गर्छ।', '<EOS>')
Mark the words that you cannot understand.	('<SOS>', 'तपाईंले नबुझेका शब्दहरूमा चिन्ह लगाउनुहोस्।', '<EOS>')
The policeman took the knife from the boy.	('<SOS>', 'प्रहरी जवानले केटाबाट छुरी लिए।', '<EOS>')
The question is who will go there for Tom.	('<SOS>', 'प्रश्न यो छ, टमको लागि त्यहाँ को जानेछ?', '<EOS>')
The weight of the snow broke the branches.	('<SOS>', 'हिउँको बोझले हाँगा भाँचियो।', '<EOS>')
There is a parking lot behind the theater.	('<SOS>', 'थिएटरको पछाडि एउटा पार्किङ छ।', '<EOS>')
This is one of the best-selling cookbooks.	('<SOS>', 'यो सबैभन्दा धेरै बिक्री हुने कुकबुकहरू मध्ये एक हो।', '<EOS>')
Today's a bit warmer than usual, isn't it?	('<SOS>', 'आज अरुबेला भन्दा अलि बढी गर्मी छ है ?', '<EOS>')
Tom didn't seem to know anything about it.	('<SOS>', 'टमलाई यसबारे सबै थाहा भए जस्तो देखिदैनथ्यो।', '<EOS>')
Tom doesn't seem to agree with you at all.	('<SOS>', 'टम तपाईंसँग बिलकुलै सहमत छैन जस्तो देखिन्छ।', '<EOS>')
Tom doesn't seem to agree with you at all.	('<SOS>', 'टम तपाईंसँग बिलकुल सहमत छ जस्तो देखिँदैन।', '<EOS>')
Tom doesn't seem to be enjoying the party.	('<SOS>', 'टम पार्टीको मजा लिइरहेको जस्तो देखिदैन।', '<EOS>')
Tom gave his father a tie on Father's Day.	('<SOS>', 'टमले आफ्नो बुबालाई फादर्स डेमा टाई दिए।', '<EOS>')
Tom gave his father a tie on Father's Day.	('<SOS>', 'टमले आफ्नो बुबालाई बुबा को मुख हेर्ने दिनमा टाई दिए।', '<EOS>')
Tom has a friend who is a wrestling coach.	('<SOS>', 'टमको एक साथी छन् जो कुश्तीका प्रशिक्षक हुन्।', '<EOS>')
Tom no longer works as much as he used to.	('<SOS>', 'टमले पहिलेको जस्तो काम गर्दैनन्।', '<EOS>')
Tom said something that he shouldn't have.	('<SOS>', 'टमले आफुले भन्न नहुने कुरा भने।', '<EOS>')
Tom should be getting ready for the party.	('<SOS>', 'टम पार्टीको लागि तयार हुनुपर्दछ।', '<EOS>')
Tom told Mary that he'd agreed to do that.	('<SOS>', 'टमले मेरीलाई भने कि उनी त्यसो गर्न सहमत छन्।', '<EOS>')
Tom was kind of chubby in the third grade.	('<SOS>', 'टम तेस्रो कक्षामा एक प्रकारको मोटो थियो।', '<EOS>')
What does being a good mother mean to you?	('<SOS>', 'तपाईलाई असल आमा हुनुको अर्थ के हो?', '<EOS>')
Why did Tom decide not to go to Australia?	('<SOS>', 'टमले किन अस्ट्रेलिया नजाने निर्णय गरे?', '<EOS>')
You could do that if you really wanted to.	('<SOS>', 'यदि तपाईं साँच्चै चाहनुहुन्छ भने तपाईंले त्यो गर्न सक्नुहुन्छ।', '<EOS>')
You could do that if you really wanted to.	('<SOS>', 'यदि तिमी साँच्चै चाहान्छौ भने तिमीले त्यो गर्न सक्छौ।', '<EOS>')
Concert tickets are on sale at this office.	('<SOS>', 'यस कार्यालयमा कन्सर्टका टिकटहरू बिक्रीमा छन्।', '<EOS>')
Do you think it's safe to drink this water?	('<SOS>', 'के तपाईलाई यो पानी पिउन सुरक्षित छ भन्ने लाग्छ?', '<EOS>')
Everybody except us knew what was going on.	('<SOS>', 'के भइरहेको छ हामी बाहेक सबैलाई थाहा थियो।', '<EOS>')
Germany is about twice the size of Uruguay.	('<SOS>', 'जर्मनी उरुग्वे भन्दा दोब्बर ठुलो छ।', '<EOS>')
How long does it take to walk to City Hall?	('<SOS>', 'सिटी हल सम्म हिड्दै जादा कति समय लाग्छ?', '<EOS>')
I can't figure out why you don't like jazz.	('<SOS>', 'तपाईलाई ज्याज किन मन पर्दैन भन्ने कुरा म बुझ्न सक्दिन।', '<EOS>')
I don't want to be involved in that matter.	('<SOS>', 'म यसमा संलग्न हुन चाहन्न।', '<EOS>')
I first used a computer about 40 years ago.	('<SOS>', 'मैले ४० वर्ष अगाडी पहिलो पटक कम्प्युटर चलाएको थिए।', '<EOS>')
I just wanted to see how you've been doing.	('<SOS>', 'म भर्खरै हेर्न चाहे कि तपाईं कस्तो गरिरहनुभएको छ।', '<EOS>')
I think you need to keep your mouth closed.	('<SOS>', 'मलाई लाग्छ कि तपाईंले आफ्नो मुख बन्द राख्नुपर्छ।', '<EOS>')
I thought that Tom might be your boyfriend.	('<SOS>', 'टम तिम्रो प्रेमी हुन सक्छ भन्ने सोचेको थिएँ।', '<EOS>')
I thought that we wouldn't have to do that.	('<SOS>', 'मैले सोचेँ कि हामीले त्यसो गर्नु पर्दैन।', '<EOS>')
I want to eat the same thing Tom is eating.	('<SOS>', 'म टमले जे खाइरहेको छ त्यही खान चाहन्छु।', '<EOS>')
I'll bring you a cup of tea while you wait.	('<SOS>', 'तिमी पर्खँदा म एक कप चिया ल्याइदिन्छु।', '<EOS>')
I'm sure Tom will be ready to do that soon.	('<SOS>', 'टम फ्रान्सेली मा आश्चर्यजनक रूपमा राम्रो छ।', '<EOS>')
It's almost three miles from here to there.	('<SOS>', 'यहाँदेखि त्यहाँसम्म करिब तीन किलोमिटर छ।', '<EOS>')
Mary joined the army when she was eighteen.	('<SOS>', 'मेरीअठार वर्षको हुँदा सेनामा भर्ना भएकी थिइन्।', '<EOS>')
Maybe I'm the one who should be doing that.	('<SOS>', 'सायद म नै हुँ जसले त्यसो गर्नु पर्छ।', '<EOS>')
Tell Tom that I'm working as fast as I can.	('<SOS>', 'टमलाई भन्नुहोस् कि म सकेसम्म छिटो काम गरिरहेको छु।', '<EOS>')
The photographs are the only proof we have.	('<SOS>', 'तस्बिरहरू मात्र हामीसँग प्रमाण हुन्।', '<EOS>')
This chair was cheap, but it's comfortable.	('<SOS>', 'यो कुर्सी सस्तो थियो, तर यो सहज छ।', '<EOS>')
This is exactly what I've been looking for.	('<SOS>', 'यो ठ्याक्कै मैले खोजेको कुरा हो।', '<EOS>')
This is the only way to solve this problem.	('<SOS>', 'यो समस्या समाधान गर्ने एक मात्र तरिका हो।', '<EOS>')
Tom asked Mary to take him to the hospital.	('<SOS>', 'उसलाई अस्पताल लैजान टमले मेरीलाई आग्रह गरे।', '<EOS>')
Tom doesn't care whether we do that or not.	('<SOS>', 'टमलाई वास्ता छैन कि हामीले त्यसो गर्छौं वा गर्दैनौं।', '<EOS>')
Tom looked pretty sick when I last saw him.	('<SOS>', 'मैले अन्तिम पटक देख्दा टम एकदमै बिरामी देखिन्थे।', '<EOS>')
Tom said he was glad that you weren't hurt.	('<SOS>', 'टमले भने तपाईलाई चोट नलागेकोमा उ खुसि थियो।', '<EOS>')
Tom wanted to know who Mary was talking to.	('<SOS>', 'टम जान्न चाहन्थे मेरी कोसंग कुरा गर्दै थिहिन्।', '<EOS>')
Tom was aware that Mary was staring at him.	('<SOS>', 'टमलाई थाहा थियो कि मेरीले उसलाई हेरिरहेकी छिन्।', '<EOS>')
Tom was reprimanded for being rude to Mary.	('<SOS>', 'टमलाई मेरीसँग असभ्य व्यवहार गरेकोमा हप्काइयो।', '<EOS>')
We're worried about what might happen next.	('<SOS>', 'हामी अब के हुन सक्छ भनेर चिन्तित छौं।', '<EOS>')
Where is it? I've been searching for hours.	('<SOS>', 'त्यो कहाँ छ? म घण्टौंदेखि खोज्दै छु ।', '<EOS>')
Did you notice that Tom was staring at Mary?	('<SOS>', 'के तपाईंले टमले मेरीलाई हेरिरहेको याद गर्नुभयो?', '<EOS>')
Do you know exactly what you're looking for?	('<SOS>', 'के तपाईलाई थाहा छ ठ्याकै तपाई के खोज्दै हुनुहुन्छ?', '<EOS>')
How many more days are you planning to stay?	('<SOS>', 'अझै कति दिन बस्ने सोचमा हुनुहुन्छ ?', '<EOS>')
I always have trouble pronouncing that word.	('<SOS>', 'मलाई त्यो शब्द उच्चारण गर्न सधैं गाह्रो हुन्छ।', '<EOS>')
I asked Tom why he had never gotten married.	('<SOS>', 'मैले टमलाई सोधेँ किन उसले कहिल्यै बिहे नगरेको।', '<EOS>')
I didn't really like the food that Tom made.	('<SOS>', 'मलाई टमले बनाएको खाना मन परेन।', '<EOS>')
I don't understand the meaning of this word.	('<SOS>', 'मैले यो शब्दको अर्थ बुझिन।', '<EOS>')
I think you spend too much time watching TV.	('<SOS>', 'मलाई लाग्छ तपाईं टिभी हेरेर धेरै समय बिताउनुहुन्छ।', '<EOS>')
I want to eat curry rice for supper tonight.	('<SOS>', 'म आज रातको खानाको लागि भात तरकारी खान चाहन्छु।', '<EOS>')
Neither Tom nor Mary wants to do that today.	('<SOS>', 'न टम न मेरी आज त्यो गर्न चाहन्छन्।', '<EOS>')
Nobody was listening to what Tom was saying.	('<SOS>', 'टमको कुरा कसैले सुनिरहेका थिएनन्।', '<EOS>')
Sorry, I've got a lot on my plate right now.	('<SOS>', 'माफ गर्नुहोस्, म अहिले निकै व्यस्त छु।', '<EOS>')
There was only one survivor of the accident.	('<SOS>', 'दुर्घटनामा एकजना मात्र बाँचेका थिए।', '<EOS>')
Tom asked Mary to make him something to eat.	('<SOS>', 'टमले मेरीलाई उसका लागी केही खानेकुरा बनाउन आग्रह गरे।', '<EOS>')
Tom doesn't know why Mary wanted to do that.	('<SOS>', 'टमलाई थाहा छैन किन मेरीले त्यसो गर्न चाहान्थिन।', '<EOS>')
Tom isn't as intelligent as you might think.	('<SOS>', 'टम तपाईले सोचे जस्तो बुद्धिमानी छैन।', '<EOS>')
Who's your favorite character in this movie?	('<SOS>', 'यो चलचित्रमा तपाईलाई मन पर्ने पात्र को हो ?', '<EOS>')
Why don't we go and see the cherry blossoms?	('<SOS>', 'फूल फुलेको हेर्न जाऔं।', '<EOS>')
Why don't we go and see the cherry blossoms?	('<SOS>', 'हानामी मनाउन जाऔं।', '<EOS>')
Why don't we go and see the cherry blossoms?	('<SOS>', 'हानामी मनाउन जाने हैन?', '<EOS>')
You probably already know about our company.	('<SOS>', 'सायद तपाईलाई हाम्रो कम्पनी बारेमा पहिले नै थाहा छ।', '<EOS>')
Can I have two hamburgers and a coke, please?	('<SOS>', 'कृपया दुईवटा ह्याम्बर्गर र एउटा कोक दिनुहोस्।', '<EOS>')
Have you made plans for your summer vacation?	('<SOS>', 'के तपाईंले आफ्नो गर्मी बिदाको लागि योजना बनाउनुभएको छ?', '<EOS>')
He is amusing himself by playing video games.	('<SOS>', 'उनी भिडियो गेम खेलेर रमाइलो गरिरहेका छन् ।', '<EOS>')
He is amusing himself by playing video games.	('<SOS>', 'उ भिडियो गेम खेलेर रमाइलो गरिरहेका छ ।', '<EOS>')
How many billionaires are there in the world?	('<SOS>', 'विश्वमा कति अर्बपति छन् ?', '<EOS>')
I didn't realize Tom didn't know how to swim.	('<SOS>', 'टम पौडी खेल्न जान्दैनन् भन्ने मलाई थाहा थिएन।', '<EOS>')
I don't have as much money as I used to have.	('<SOS>', 'मसँग पहिलाको जति पैसा छैन।', '<EOS>')
I don't like to use liquid laundry detergent.	('<SOS>', 'मलाई तरल लुगा धुने डिटर्जेन्ट प्रयोग गर्न मन लाग्दैन।', '<EOS>')
I have only one picture of great-grandmother.	('<SOS>', 'मसँग बुढी हजुरआमाको एउटा मात्र तस्वीर छ।', '<EOS>')
I want to spend the rest of my life with you.	('<SOS>', 'म बाँकी जीवन तिमीसँगै बिताउन चाहन्छु।', '<EOS>')
I'm sorry that I opened your mail by mistake.	('<SOS>', 'मैले गल्तीले तपाईको मेल खोलेकोमा क्षमाप्रार्थी छु।', '<EOS>')
Mt. Everest is the highest peak in the world.	('<SOS>', 'माउन्ट एभरेष्ट संसारको सबैभन्दा अग्लो चुचुरो हो।', '<EOS>')
Please take care of our dog while we're away.	('<SOS>', 'कृपया हामी टाढा हुँदा हाम्रो कुकुरको हेरचाह गर्नुहोस्।', '<EOS>')
That bridge took nearly three years to build.	('<SOS>', 'उक्त पुल निर्माणमा करिब तीन वर्ष लागेको थियो।', '<EOS>')
The driver of the car that hit Tom was drunk.	('<SOS>', 'टमलाई ठक्कर दिने कारको चालक रक्सीले मातेको थियो।', '<EOS>')
There is a station in the center of the city.	('<SOS>', 'शहर को बीच मा एक स्टेशन छ।', '<EOS>')
There was nobody else in the room except Tom.	('<SOS>', 'कोठामा टम बाहेक कोही थिएन।', '<EOS>')
Tom is one of the smartest men I've ever met.	('<SOS>', 'टम मैले भेटेको सबैभन्दा चतुर मान्छे मध्ये एक हो।', '<EOS>')
Tom is studying to become a marine biologist.	('<SOS>', 'टम एक समुद्री जीवविज्ञानी बन्न अध्ययन गर्दैछ।', '<EOS>')
Tom is studying to become a marine biologist.	('<SOS>', 'टम समुद्री जीवविज्ञानी बन्नको लागि अध्ययन गर्दैछ।', '<EOS>')
Tom never told me that he was from Australia.	('<SOS>', 'टमले मलाई आफू अस्ट्रेलियाबाट आएको कुरा कहिल्यै भनेनन्।', '<EOS>')
Tom speaks three languages, including French.	('<SOS>', 'टम फ्रान्सेली सहित तीन भाषा बोल्छन्।', '<EOS>')
Tom speaks three languages, including French.	('<SOS>', 'टम फ्रेन्च सहित तीन भाषा बोल्छ।', '<EOS>')
Tom told me it would be dangerous to do that.	('<SOS>', 'टमले मलाई भने कि यो गर्न खतरनाक हुनेछ।', '<EOS>')
We were confident that we would win the game.	('<SOS>', 'हामी खेल जित्नेमा विश्वस्त थियौं।', '<EOS>')
What's the best way to get in touch with you?	('<SOS>', 'तपाईंसँग सम्पर्कमा रहन उत्तम तरिका के हो?', '<EOS>')
What's the weather going to be like tomorrow?	('<SOS>', 'भोलिको मौसम कस्तो रहनेछ?', '<EOS>')
Would you ever accept a ride from a stranger?	('<SOS>', 'के तपाइँ कहिल्यै अपरिचित व्यक्तिबाट सवारी स्वीकार गर्नुहुन्छ?', '<EOS>')
He's a British citizen, but he lives in India.	('<SOS>', 'उनी बेलायती नागरिक हुन् तर उनी भारतमा बस्छन्।', '<EOS>')
I didn't know Tom was that good at doing that.	('<SOS>', 'मलाई थाहा थिएन कि टम त्यो गर्नमा राम्रो थियो।', '<EOS>')
I don't think I can do this without your help.	('<SOS>', 'मलाई लाग्दैन कि म तपाईंको सहयोग बिना यो गर्न सक्छु।', '<EOS>')
I don't think Tom will ever speak to me again.	('<SOS>', 'मलाई लाग्दैन कि टमले मसँग फेरि कहिल्यै बोल्नेछ।', '<EOS>')
I played the violin when I was in high school.	('<SOS>', 'म हाईस्कूलमा हुँदा भायोलिन बजाउथें ।', '<EOS>')
I'd rather stay at home than go to the movies.	('<SOS>', 'म चलचित्र हेर्न जानु भन्दा घरमै बस्न रुचाउँछु ।', '<EOS>')
I'm from Australia, but I live in New Zealand.	('<SOS>', 'म अष्ट्रेलियाबाट हुँ, तर म न्यूजील्याण्डमा बस्छु।', '<EOS>')
My mother is two years younger than my father.	('<SOS>', 'मेरी आमा बुबा भन्दा दुई वर्ष कान्छी हुनुहुन्छ।', '<EOS>')
My parents died when I was thirteen years old.	('<SOS>', 'म १३ वर्षको हुँदा आमाबुवाको मृत्यु भयो।', '<EOS>')
My parents died when I was thirteen years old.	('<SOS>', 'म १३ वर्षको हुँदा मेरा आमाबुवाको मृत्यु भयो।', '<EOS>')
Please put this where children can't reach it.	('<SOS>', 'कृपया बच्चाहरूको पहुँचबाट टाढा राख्नुहोस्।', '<EOS>')
Show me what you have hidden behind your back.	('<SOS>', 'तपाईंले आफ्नो पछाडि के लुकाउनुभएको छ मलाई देखाउनुहोस्।', '<EOS>')
The branch broke under the weight of the snow.	('<SOS>', 'हिउँको बोझले हाँगा भाँचियो।', '<EOS>')
Tom always says funny things to make me laugh.	('<SOS>', 'टमले मलाई हँसाउनको लागि सधैं रमाइला कुराहरू भन्छन्।', '<EOS>')
Tom couldn't come with us because he was sick.	('<SOS>', 'टम हामीसँग आउन सकेन किनभने ऊ बिरामी थियो ।', '<EOS>')
Tom gave a sleeping bag to me a few weeks ago.	('<SOS>', 'टमले केही हप्ता अघि मलाई सुत्ने झोला दिए।', '<EOS>')
Tom has borrowed over 3,000 dollars from Mary.	('<SOS>', 'टमले मेरीबाट ३,००० डलरभन्दा बढी ऋण लिएका छन्।', '<EOS>')
Tom is out playing with the neighborhood boys.	('<SOS>', 'टम छिमेकी केटाहरु संग बाहिर खेल्दै छ।', '<EOS>')
Tom saw a car parked in front of Mary's house.	('<SOS>', 'टमले मेरीको घर अगाडि एउटा कार पार्क गरेको देखे।', '<EOS>')
Tom says he has never tried eating whale meat.	('<SOS>', 'टम भन्छन् कि उनले कहिल्यै ह्वेलको मासु खाने प्रयास गरेनन्।', '<EOS>')
Have you ever eaten anything that Tom's cooked?	('<SOS>', 'के तपाईंले कहिल्यै टमले बनाएको खाना खानुभएको छ?', '<EOS>')
How long does it take to walk to the city hall?	('<SOS>', 'सिटी हल सम्म हिड्दै जादा कति समय लाग्छ?', '<EOS>')
I have a dog. He is black and his name is Tiki.	('<SOS>', 'म संग कुकुर छ। ऊ कालो छ र उसको नाम टिकी हो।', '<EOS>')
I should probably not tell Tom that I'm sleepy.	('<SOS>', 'मैले सायद टमलाई मलाई निद्रा लागेको कुरा भन्नु हुँदैन।', '<EOS>')
I think that car is a little too small for you.	('<SOS>', 'मलाई लाग्छ कि त्यो कार तपाईका लागि अलिकति सानो छ।', '<EOS>')
I'm not the kind of person that you think I am.	('<SOS>', 'म तिमीले सोचेको जस्तो मान्छे होइन।', '<EOS>')
It's nice to see you again after so many years.	('<SOS>', 'धेरै वर्ष पछी फेरी भेट्दा खुशी लाग्यो।', '<EOS>')
Let me teach you a simple way to remember that.	('<SOS>', 'म तपाइँलाई सम्झन को लागी एक सरल तरिका सिकाउँछु।', '<EOS>')
No matter how old you get, you can still learn.	('<SOS>', 'तपाईं जति उमेरको भए पनि सिक्न सक्नुहुन्छ।', '<EOS>')
Tom can't see what's written on the blackboard.	('<SOS>', 'टमले ब्ल्याकबोर्डमा के लेखेको छ भनेर देख्न सक्दैन।', '<EOS>')
Tom forgot to put the milk in the refrigerator.	('<SOS>', 'टमले फ्रिजमा दूध राख्न बिर्सियो।', '<EOS>')
Tom has known Mary since she was a little girl.	('<SOS>', 'टमले मेरीलाई सानी हुँदादेखि नै चिनेका छन्।', '<EOS>')
Tom said he isn't used to this kind of weather.	('<SOS>', 'टमले भने कि उनलाई यस प्रकारको मौसमको बानी छैन।', '<EOS>')
Tom's birthday is exactly one month from today.	('<SOS>', 'टमको जन्मदिन ठ्याक्कै एक महिना टाढा छ।', '<EOS>')
What's the distance between Boston and Chicago?	('<SOS>', 'बोस्टन र शिकागोको बीचको दूरी कति छ?', '<EOS>')
