who?	को?
tom spends a lot of money on clothes.	टमले कपडाको लागि धेरै पैसा खर्च गर्दछ।
tom took a book out of his briefcase.	टमले आफ्नो ब्रिफकेसबाट एउटा किताब निकाले।
tom was obviously not very impressed.	टम स्पष्ट रूपमा धेरै प्रभावित थिएनन्।
tom was the first person to sit down.	पहिलो बस्ने व्यक्ति टम थियो।
tom was there, but he didn't help us.	टम त्यहाँ थियो, तर उसले हामीलाई मद्दत गरेन।
what color is the roof of your house?	तपाईको घरको छानो कस्तो रङको छ?
what do you call that bird in french?	तपाईं त्यो चरालाई फ्रेन्चमा कसरी भन्नुहुन्छ?
what do you want to be in the future?	भविष्यमा के बन्न चाहनुहुन्छ?
what do you want to do in the future?	तिमी भविष्यमा के गर्न चाहान्छौ?
what time does that restaurant close?	त्यो रेस्टुरेन्ट कति बजे बन्द हुन्छ?
what website do you visit most often?	तपाइँ प्रायः कुन वेबसाइट चलाउने गर्नुहुन्छ?
what'll the weather be like tomorrow?	भोलिको मौसम कस्तो रहनेछ?
who is better at french, tom or mary?	फ्रान्सेली मा को राम्रो छ, टम वा मेरी?
why did you stop only the foreigners?	तिमीले किन विदेशीलाई मात्र रोकेको ?
why did you stop only the foreigners?	तपाईले किन विदेशीलाई मात्र रोक्नुभएको ?
will you please call me this evening?	के तपाईं मलाई आज बेलुका फोन गर्न सक्नुहुन्छ?
women generally live longer than men.	महिलाहरु सामान्यतया पुरुषहरु भन्दा लामो समय बाँच्ने गर्दछ।
you can never forget your first love.	तिमीले आफ्नो पहिलो प्रेमलाई कहिल्यै भुल्न सक्दैनौ।
you must not forget your schoolbooks.	तिमीले आफ्नो स्कूलका किताबहरू बिर्सनु हुँदैन।
you're the only one who wants to win.	तपाईं मात्र एक हुनुहुन्छ जसले जित्न चाहन्छ।
answering that question was difficult.	त्यो प्रश्नको जवाफ दिन गाह्रो भयो।
do you have any time to help me today?	के तपाईसँग आज मलाई मद्दत गर्नको लागि कुनै समय छ?
how do you say "i love you" in french?	फ्रान्सेली भाषामा "म तिमीलाई माया गर्छु" भन्दा कसरी भन्छौ?
how many times a day does the bus run?	बस दिनमा कति पटक चल्छ?
how often do you think that'll happen?	तपाइँ कति पटक यो हुनेछ भन्ने सोच्नुहुन्छ?
i can't leave work until five o'clock.	म ५ बजेसम्म काम छोड्न सक्दिन।
i haven't decided yet if i want to go.	यदि म जान चाहन्छु कि भनेर मैले अझै निर्णय गरेको छैन।
i haven't finished paying off my loan.	मैले अझै पनि ऋण तिर्न सकेको छैन।
i knew that tom was afraid of heights.	मलाई थाहा थियो कि टम उचाइबाट डराउँछन्।
i like white roses more than red ones.	मलाई रातो गुलाब भन्दा सेतो गुलाब मन पर्छ।
i need to talk to you about this soon.	मलाई यस बारे तपाईंसँग चाँडै कुरा गर्न आवश्यक छ।
i think i know what tom is doing here.	टम यहाँ के गर्दैछ भनेर मलाई थाहा छ।
i think you shouldn't have called tom.	मलाई लाग्छ तपाईंले टमलाई बोलाउनु हुँदैनथ्यो।
i thought that tom would want it back.	मैले सोचे कि टमले यो फिर्ता चाहन्छ।
i'm just buying some stuff for dinner.	म बेलुकाको खानाको लागि केही सामान किन्दै छु।
i'm not going to speak to tom anymore.	म अब टमसँग कुरा गर्ने छैन।
i'm pretty sure tom's happy in boston.	म पक्का छु कि टम बोस्टनमा खुसी छ।
i'm sorry to hear that tom is so sick.	टम धेरै बिरामी भएको कुरा सुनेर मलाई दुख लाग्यो।
i've been boxing since i was thirteen.	म तेह्र वर्षको उमेरदेखि बक्सिङ गर्दै आएको छु।
it has been raining since last monday.	गत सोमबारदेखि पानी परिरहेको छ।
it would've been unethical to do that.	त्यसो गर्नु अनैतिक हुने थियो।
making model planes is his only hobby.	मोडल प्लेन बनाउनु उनको एकमात्र शौक हो।
mathematics is an interesting subject.	गणित एउटा रोचक विषय हो।
only one person survived the accident.	दुर्घटनामा एकजना मात्र बाँचेका थिए।
the house with the green roof is mine.	हरियो छानो भएको घर मेरो हो।
the mountaintops are hidden by clouds.	पहाडको चुचुरोलाई बादलले छोपेको छ ।
the store opens for business tomorrow.	भोलिदेखि पसल खुल्नेछ।
they went on many adventures together.	उनीहरु सँगै धेरै साहसिक कार्यमा गए ।
this is a poem written by tom jackson.	यो टम ज्याक्सन द्वारा लेखिएको कविता हो।
this is the perfect father's day gift.	यो उत्तम बुबाको मुख हेर्ने दिनको उपहार हो।
tom always blames mary for everything.	टमले सधैं सबै कुरामा मेरीलाई दोष दिन्छ।
tom and i danced together all evening.	टम र मैले पुरै साँझमा सँगै नाच्यौं।
tom didn't do what you told him to do.	टमले तपाईंले उसलाई जे गर्न भन्नुभएको थियो त्यो गरेन।
tom died when he was thirty years old.	तीस वर्षको हुँदा टमको मृत्यु भयो।
tom doesn't like to talk about boston.	टम बोस्टनको बारेमा कुरा गर्न मन पराउँदैनन्।
tom has an umbrella, but mary doesn't.	टमसँग छाता छ, तर मेरीसँग छैन।
tom is a very talented young director.	टम धेरै प्रतिभाशाली युवा निर्देशक हुन्।
tom is probably still waiting for you.	टम सायद अझै तपाइँको लागि पर्खिरहेको छ।
tom is probably still waiting for you.	टम सायद अझै तिम्रो लागि पर्खिरहेको छ।
tom is the one who gave me this apple.	टम एक हो जसले मलाई यो स्याउ दियो।
tom is the one who told us what to do.	टम एक हो जसले हामीलाई के गर्ने भन्यो।
tom isn't as intelligent as you think.	टम तपाईले सोचे जस्तो बुद्धिमानी छैन।
tom probably went to a friend's house.	टम सायद साथीको घरमा गएको छ।
tom says he doesn't like his nickname.	टम भन्छन् कि उसलाई आफ्नो उपनाम मन पर्दैन।
tom translated the letter into french.	टमले पत्रलाई फ्रेन्चमा अनुवाद गर्यो।
tom was hoping we'd do that with mary.	टमलाई आशा थियो कि हामीले मरियमसँग त्यसो गर्नेछौं।
tom was supposed to help me on monday.	टमले मलाई सोमबार मद्दत गर्ने थियो।
tom wasn't the only one who drank tea.	चिया पिउने टम मात्र थिएनन्।
tom will never become a good musician.	टम कहिल्यै राम्रो संगीतकार बन्ने छैन।
we tried it again, but couldn't do it.	हामीले फेरि प्रयास गर्यौ तर गर्न सकेनौ।
we want a woman who's good at cooking.	हामी खाना पकाउन माहिर महिला चाहान्छौं।
what kind of person do you want to be?	तपाई कस्तो मान्छे बन्न चाहनुहुन्छ?
what's the weather like in boston now?	बोस्टनको मौसम अहिले कस्तो छ?
when i got up, it was snowing outside.	म उठ्दा खेरि बाहिर हिउँ परिरहेको थियो।
why does tom like living in australia?	टम किन अस्ट्रेलियामा बस्न मन पराउँछन्?
you don't have to take off your socks.	तपाईंले आफ्नो मोजाहरू फुकाउन आवश्यक छैन।
you know tom won't do that, don't you?	तपाईलाई थाहा छ टमले त्यसो गर्दैन, हैन?
you need to be a bit more cooperative.	तिमि अलि बढी सहयोगी बन्न जरुरी छ ।
you need to hire people you can trust.	तपाईंले विश्वास गर्न सक्ने व्यक्तिहरूलाई भर्ना गर्न आवश्यक छ।
are you waiting for me to do something?	के तिमी मलाई केही गर्न लगाउन पर्खिरहेका छौ?
can't you and tom stay a little longer?	के तपाईं र टम केही समय बस्न सक्नुहुन्न?
do you know anybody who teaches french?	के तपाइँ फ्रान्सेली सिकाउने कसैलाई चिन्नुहुन्छ?
don't blame yourself for what happened.	जे भयो त्यसको लागि आफैलाई दोष नदिनुहोस्।
don't forget to thank tom for the gift.	उपहारको लागि टमलाई धन्यवाद दिन नबिर्सनुहोस्।
don't you have something to say to tom?	के तपाइँसँग टमलाई भन्न केहि छैन?
don't you think we should raise prices?	तपाईंलाई हामीले मूल्यवृद्धि गर्नुपर्छ जस्तो लाग्दैन ?
how many of you drink coffee every day?	तपाईहरु मध्ये कति जना हरेक दिन कफी पिउनुहुन्छ?
i didn't know that tom was from boston.	टम बोस्टनबाट आएको मलाई थाहा थिएन।
i don't like it when people yell at me.	मानिसहरूले मलाई चिच्याएको मलाई यो मन पर्दैन।
i don't think this is a very good idea.	मलाई लाग्दैन कि यो एकदम राम्रो विचार हो।
i don't think this is a very good idea.	मलाई लाग्दैन कि यो धेरै राम्रो विचार हो।
i don't think you'll have that problem.	मलाई लाग्दैन कि तपाईलाई त्यो समस्या हुनेछ।
i have enough sandwiches for everybody.	मसँग सबैजनाका लागि स्यान्डविचहरू छन्।
i jumped out of bed and ran downstairs.	म ओछ्यानबाट हाम फालेर तल दगुरेँ।
i told tom a joke, but he didn't laugh.	मैले टमलाई चुड्किला भनेँ, तर ऊ हाँसेन।
i'm drinking water because i'm thirsty.	तिर्खा लागेकोले पानी पिउदै छु ।
i'm from australia. where are you from?	म अस्ट्रेलिया बाट हुँ। तिमी कहाँको हौं?
i'm from australia. where are you from?	म अस्ट्रेलिया बाट हुँ। तपाईं कहाँबाट हुनुहुन्छ?
i'm from australia. where are you from?	म अष्ट्रेलियाबाट आएको हुँ। तपाईं कहाँबाट हुनुहुन्छ?
i'm from australia. where are you from?	म अस्ट्रेलिया बाट हुँ। तिमी कहाँबाट हौ?
many japanese travel abroad every year.	हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्।
oranges are a good source of vitamin c.	सुन्तला भिटामिन सी को राम्रो स्रोत हो।
please send in your summary by tuesday.	कृपया मङ्गलबारसम्म आफ्नो सारांश पठाउनुहोस्।
raise your hand if you have a question.	यदि तपाइँसँग कुनै प्रश्न छ भने हात उठाउनुहोस्।
thanks in advance for your suggestions.	तपाईंको सुझावहरूको लागि अग्रिम धन्यवाद।
the last time i saw tom was in october.	अन्तिम पटक मैले टमलाई अक्टोबरमा देखेको थिएँ।
there are a lot of things tom won't do.	त्यहाँ धेरै चीजहरू छन् जुन टमले गर्नेछैन।
there's someone waiting for me outside.	बाहिर कोही मलाई पर्खिरहेको छ।
tom finally got here around lunch time.	टम अन्ततः खाजाको समयको आसपासमा यहाँ आइपुगे।
tom hasn't taken a bath in a long time.	टमले लामो समयदेखि नुहाएको छैन।
tom is still in love with you, i think.	मलाई लाग्छ, टम अझै पनि तपाईंसँग प्रेममा छ।
tom looks cool no matter what he wears.	टमले जस्तोसुकै लगाए पनि राम्रो देखिन्छ।
tom was showing mary how to fly a kite.	टमले मेरीलाई चङ्गा उडाउने तरिका देखाउँदै थिए।
tom went straight home after the party.	टम पार्टी पछि सिधै घर गए।
tom wouldn't be happy if mary did that.	यदि मेरीले त्यसो गरिन् भने टम खुसी हुनेछैनन्।
ulaanbaatar is the capital of mongolia.	उलानबाटार मंगोलियाको राजधानी हो।
we have three televisions in our house.	हाम्रो घरमा तीनवटा टिभी छन्।
why do you think tom went to australia?	तपाईलाई टम किन अष्ट्रेलिया गएको जस्तो लाग्छ?
you know this isn't where i want to be.	तिमीलाई थाहा छ यो त्यो ठाउँ होइन जहाँ म हुन चाहन्छु।
you're feeling very sleepy, aren't you?	तपाईलाई धेरै निद्रा लागेको छ, हैन?
you're feeling very sleepy, aren't you?	तिमीलाई धेरै निद्रा लागेको छ, हैन?
a man can't be judged by his appearance.	मानिसलाई उसको रूपले मूल्याङ्कन गर्न सकिँदैन।
do you know what's going to happen next?	के तपाईलाई थाहा छ अब के हुने छ?
do you really think you need to do that?	के तपाई साँच्चै सोच्नुहुन्छ कि तपाईले त्यसो गर्नु आवश्यक छ?
every year, many japanese travel abroad.	हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्।
germany is about half the size of texas.	जर्मनी टेक्सासको आधा आकारको छ।
germany is about the same size as japan.	जर्मनीको आकार जापान जत्तिकै छ।
he made a great fortune in his lifetime.	उसले जिन्दगीमा धेरै सम्पति जोड्यो।
i can't understand what you said at all.	तपाईंले के भन्नुभयो मैले केही पनी बुझ्न सकिन।
i don't know how long i'll be in boston.	मलाई थाहा छैन म कहिलेसम्म बोस्टनमा बस्छु।
i don't know why you're studying french.	मलाई थाहा छैन तिमी किन फ्रेन्च पढ्दै छौ।
i don't remember how to spell your name.	तिम्रो नाम कसरी लेख्ने मलाई याद छैन।
i knew that tom was in his room reading.	मलाई थाहा थियो कि टम आफ्नो कोठामा पढिरहेको थियो।
i like white roses better than red ones.	मलाई रातो गुलाब भन्दा सेतो गुलाब मन पर्छ।
i think tom won't be nervous doing that.	मलाई लाग्छ कि टम त्यसो गर्दा नर्भस हुनेछैन।
i usually eat rice at least twice a day.	म सामान्यतया दिनमा कम्तिमा दुई पटक भात खान्छु।
i went to the airport to meet my father.	बुबालाई भेट्न एयरपोर्ट गएँ।
i'd be willing to help if you need help.	यदि तपाईंलाई मद्दत चाहिन्छ भने, म मद्दत गर्न सक्छु।
i'm not convinced ghosts actually exist.	भूतहरू वास्तवमा छन् भन्ने कुरामा म विश्वस्त छैन।
i'm not particularly good at doing that.	म त्यसो गर्नमा खासै राम्रो छैन।
i'm sorry, could you repeat that please?	कृपया मलाई माफ गर्नुहोस्, फेरी एक पटक दोहोर्याउन सक्नुहुन्छ?
i'm very interested in irish folk music.	मलाई आयरिश लोक संगीतमा धेरै रुचि छ।
i've finished preparations for tomorrow.	भोलिको तयारी पूरा गरिसकेको छु।
it has developed into a very large city.	यो एक धेरै ठूलो शहर मा विकसित भएको छ।
it is rumored that he has gone bankrupt.	ऊ टाट पल्टियो भन्ने हल्ला छ।
thank you very much for your suggestion.	तपाईको सुझावको लागि धेरै धेरै धन्यवाद।
that old house is thought to be haunted.	त्यो पुरानो घरमा तर्साउने गरेको मानिन्छ ।
the tickets i bought are non-refundable.	मैले किनेका टिकटहरू फिर्ता हुदैनन्।
there are some empty bottles in the box.	बाकसमा खाली बोतलहरु छन्।
tom couldn't read until he was thirteen.	टमले तेह्र वर्षको नहुँदासम्म पढ्न सकेनन्।
tom doesn't have a girlfriend right now.	टमको अहिले कुनै प्रेमिका छैन।
tom has asked me to lend him some money.	टमले मलाई केही पैसा उधारो दिन आग्रह गरेको छ।
tom is a billionaire, not a millionaire.	टम अर्बपति हो, करोडपति होइन।
tom is all alone with no one to talk to.	टम एक्लै छ जससँग कुरा गर्न कोही छैन।
tom isn't here. do you know where he is?	टम यहाँ छैन। ऊ कहाँ छ थाहा छ?
tom probably went to his friend's house.	टम सायद साथीको घरमा गएको छ।
tom showed mary where he kept his money.	टमले मेरीलाई आफ्नो पैसा कहाँ राखेको देखाए ।
tom will never forgive us if we do that.	यदि हामीले त्यसो गर्यौं भने टमले हामीलाई कहिल्यै माफ गर्नेछैन।
we have a dog, a cat and three canaries.	हामीसँग एउटा कुकुर, एउटा बिरालो र तीनवटा क्यानरीहरू छन्।
you don't need to finish it by tomorrow.	तपाईंले यसलाई भोलिसम्म पूरा गर्न आवश्यक छैन।
you may come visit whenever you want to.	तपाईले चाहानु भएको बेला घुम्न आउन सक्नुहुन्छ।
you'd better stay in bed for a few days.	तपाईं केही दिन ओछ्यानमै बस्नु राम्रो हुन्छ।
a lot of companies will do that nowadays.	आजकल धेरै कम्पनीहरूले त्यसो गर्नेछन्।
how many times a week do you take a bath?	तपाईं हप्तामा कति पटक नुहाउनुहुन्छ?
i don't feel like studying english today.	आज मलाई अंग्रेजी पढ्न मन लागेको छैन।
i don't know how long it's going to take.	मलाई थाहा छैन यसले कति समय लिन्छ।
i don't think i'll ever understand women.	मलाई लाग्दैन कि मैले महिलालाई कहिल्यै बुझ्नेछु।
i don't want to go to australia with you.	म तिमीसँग अस्ट्रेलिया जान चाहन्न।
i first met tom when he was 13 years old.	मैले पहिलो पटक टमलाई ऊ १३ वर्षको हुँदा भेटेको थिएँ।
i think you've got a really bad attitude.	मलाई लाग्छ कि तपाईंले साँच्चै नराम्रो मनोवृत्ति पाउनुभएको छ।
i waited by myself in front of the hotel.	म होटल अगाडि एक्लै पर्खिरहेको थिएँ ।
i want to become a doctor like my father.	म मेरो बुबा जस्तै डाक्टर बन्न चाहन्छु।
i want to get out of the car and stretch.	म कारबाट बाहिर निस्कन र जिउ तन्काउन चाहन्छु।
i'd like a room facing the ocean instead.	म यसको सट्टा समुद्रतिर फर्केको कोठा चाहन्छु।
i'll be with tom all next week in boston.	म अर्को हप्ता बोस्टनमा टमसँग हुनेछु।
it was difficult to answer that question.	त्यो प्रश्नको जवाफ दिन गाह्रो भयो।
it's fun to learn about foreign cultures.	विदेशी संस्कृतिको बारेमा जान्न पाउँदा रमाइलो हुन्छ।
it's fun to learn about foreign cultures.	विदेशी संस्कृतिको बारेमा जान्न रमाइलो हुन्छ।
many japanese travel overseas every year.	हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्।
mary wore a strapless dress to the party.	मेरीले पार्टीमा स्ट्र्यापलेस पोशाक लगाएकी थिइन्।
my mother is strict, but my father isn't.	मेरी आमा कडा हुनुहुन्छ, तर बुबा त्यस्तो हुनुहुन्न।
thank you for teaching me so many things.	मलाई धेरै कुरा सिकाउनु भएकोमा धन्यवाद।
the truth can be more painful than a lie.	सत्य झूट भन्दा धेरै पीडादायी हुन सक्छ।
the young man that you saw is my brother.	तिमीले देखेको युवक मेरो भाइ हो।
there is a suspension bridge ahead of us.	हाम्रो अगाडि एउटा झोलुङ्गे पुल छ।
there's a beautiful bridge over the pond.	त्यो पोखरीको वरिपरि सुन्दर पुल छ।
tom and i danced together all night long.	टम र म सँगै रातभर नाच्यौं।
tom first came to boston three years ago.	टम पहिलो पटक तीन वर्ष पहिले बोस्टन आएका थिए।
tom gave almost all his money to charity.	टमले आफ्नो प्रायः सबै पैसा परोपकारलाई दिए।
tom put himself and his children at risk.	टमले आफू र आफ्ना छोराछोरीलाई जोखिममा राखे।
tom told me that he hasn't done that yet.	टमले मलाई भन्यो कि उसले त्यो अहिलेसम्म गरेको छैन।
tom wasn't able to get the motor started.	टम मोटर सुरु गर्न सक्षम थिएन।
tom will be able to do what he has to do.	टमले आफूले गर्नुपर्ने काम गर्न सक्षम हुनेछ।
we're beginning a long and difficult job.	हामी लामो र कठिन काम सुरु गर्दैछौं।
what time did you go to sleep last night?	हिजो राति कति बजे सुत्नु भएको थियो ?
without me, you won't be able to do that.	म बिना, तपाईं त्यो गर्न सक्षम हुनुहुने छैन।
would it be ok if i turned off the radio?	के म रेडियो बन्द गर्न सक्छु?
would it be ok if i turned the radio off?	के म रेडियो बन्द गर्न सक्छु?
would you mind if i turned off the radio?	के म रेडियो बन्द गर्न सक्छु?
would you mind if i turned the radio off?	के म रेडियो बन्द गर्न सक्छु?
you don't have to answer these questions.	तपाईंले यी प्रश्नहरूको जवाफ दिनु पर्दैन।
"what time is it now?" "it's ten o'clock."	"अहिले कति बज्यो?" "दश बज्यो।"
a lot of people are starving in the world.	विश्वमा धेरै मानिस भोकै छन्।
cats were sacred animals in ancient egypt.	बिरालाहरू प्राचीन इजिप्टमा पवित्र जनावरहरू थिए।
did i ever tell you why i moved to boston?	म किन बोस्टनमा सरेँ भनेर के मैले तपाईंलाई कहिल्यै बताएको छु?
do you spend more time at home or at work?	तपाई घरमा कि काममा धेरै समय बिताउनुहुन्छ?
every year, many japanese travel overseas.	हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्।
he is the greatest singer that ever lived.	उनी अहिलेसम्मकै उत्कृष्ट गायक हुन्।
how many languages can you speak fluently?	तपाईं कतिवटा भाषाहरू सजिलै बोल्न सक्नुहुन्छ?
i haven't the faintest idea what you mean.	तपाईले के भन्न खोज्दै हुनुहुन्छ मलाई केहि थाहा छैन।
i like rice, but i don't eat it every day.	मलाई भात मनपर्छ, तर म हरेक दिन खान्न।
i really don't understand what's so funny.	म साँच्चै बुझ्न सक्दिन कि यति हास्यास्पद के हो।
i'd like to stay here for a few more days.	म अझै केही दिन यहाँ बस्न चाहन्छु।
i'll meet up with you guys this afternoon.	म आज दिउँसो तपाईंहरूसँग भेट गर्नेछु।
i'm not the kind of person you think i am.	म तिमीले सोचेको जस्तो मान्छे होइन।
i'm not used to making speeches in public.	मलाई सार्वजनिक रूपमा भाषण गर्ने बानी छैन।
i'm really looking forward to tom's visit.	म साँच्चै टमको भ्रमणको लागि पर्खिरहेको छु।
i'm sure that tom feels the same way i do.	म पक्का छु कि टमले पनि मैले जस्तै महसुस गर्छ।
mark the words that you cannot understand.	तपाईंले नबुझेका शब्दहरूमा चिन्ह लगाउनुहोस्।
the policeman took the knife from the boy.	प्रहरी जवानले केटाबाट छुरी लिए।
the question is who will go there for tom.	प्रश्न यो छ, टमको लागि त्यहाँ को जानेछ?
the weight of the snow broke the branches.	हिउँको बोझले हाँगा भाँचियो।
there is a parking lot behind the theater.	थिएटरको पछाडि एउटा पार्किङ छ।
this is one of the best-selling cookbooks.	यो सबैभन्दा धेरै बिक्री हुने कुकबुकहरू मध्ये एक हो।
today's a bit warmer than usual, isn't it?	आज अरुबेला भन्दा अलि बढी गर्मी छ है ?
tom didn't seem to know anything about it.	टमलाई यसबारे सबै थाहा भए जस्तो देखिदैनथ्यो।
tom doesn't seem to agree with you at all.	टम तपाईंसँग बिलकुलै सहमत छैन जस्तो देखिन्छ।
tom doesn't seem to agree with you at all.	टम तपाईंसँग बिलकुल सहमत छ जस्तो देखिँदैन।
tom doesn't seem to be enjoying the party.	टम पार्टीको मजा लिइरहेको जस्तो देखिदैन।
tom gave his father a tie on father's day.	टमले आफ्नो बुबालाई फादर्स डेमा टाई दिए।
tom gave his father a tie on father's day.	टमले आफ्नो बुबालाई बुबा को मुख हेर्ने दिनमा टाई दिए।
tom has a friend who is a wrestling coach.	टमको एक साथी छन् जो कुश्तीका प्रशिक्षक हुन्।
tom no longer works as much as he used to.	टमले पहिलेको जस्तो काम गर्दैनन्।
tom said something that he shouldn't have.	टमले आफुले भन्न नहुने कुरा भने।
tom should be getting ready for the party.	टम पार्टीको लागि तयार हुनुपर्दछ।
tom told mary that he'd agreed to do that.	टमले मेरीलाई भने कि उनी त्यसो गर्न सहमत छन्।
tom was kind of chubby in the third grade.	टम तेस्रो कक्षामा एक प्रकारको मोटो थियो।
what does being a good mother mean to you?	तपाईलाई असल आमा हुनुको अर्थ के हो?
why did tom decide not to go to australia?	टमले किन अस्ट्रेलिया नजाने निर्णय गरे?
you could do that if you really wanted to.	यदि तपाईं साँच्चै चाहनुहुन्छ भने तपाईंले त्यो गर्न सक्नुहुन्छ।
you could do that if you really wanted to.	यदि तिमी साँच्चै चाहान्छौ भने तिमीले त्यो गर्न सक्छौ।
concert tickets are on sale at this office.	यस कार्यालयमा कन्सर्टका टिकटहरू बिक्रीमा छन्।
do you think it's safe to drink this water?	के तपाईलाई यो पानी पिउन सुरक्षित छ भन्ने लाग्छ?
everybody except us knew what was going on.	के भइरहेको छ हामी बाहेक सबैलाई थाहा थियो।
germany is about twice the size of uruguay.	जर्मनी उरुग्वे भन्दा दोब्बर ठुलो छ।
how long does it take to walk to city hall?	सिटी हल सम्म हिड्दै जादा कति समय लाग्छ?
i can't figure out why you don't like jazz.	तपाईलाई ज्याज किन मन पर्दैन भन्ने कुरा म बुझ्न सक्दिन।
i don't want to be involved in that matter.	म यसमा संलग्न हुन चाहन्न।
i first used a computer about 40 years ago.	मैले ४० वर्ष अगाडी पहिलो पटक कम्प्युटर चलाएको थिए।
i just wanted to see how you've been doing.	म भर्खरै हेर्न चाहे कि तपाईं कस्तो गरिरहनुभएको छ।
i think you need to keep your mouth closed.	मलाई लाग्छ कि तपाईंले आफ्नो मुख बन्द राख्नुपर्छ।
i thought that tom might be your boyfriend.	टम तिम्रो प्रेमी हुन सक्छ भन्ने सोचेको थिएँ।
i thought that we wouldn't have to do that.	मैले सोचेँ कि हामीले त्यसो गर्नु पर्दैन।
i want to eat the same thing tom is eating.	म टमले जे खाइरहेको छ त्यही खान चाहन्छु।
i'll bring you a cup of tea while you wait.	तिमी पर्खँदा म एक कप चिया ल्याइदिन्छु।
i'm sure tom will be ready to do that soon.	टम फ्रान्सेली मा आश्चर्यजनक रूपमा राम्रो छ।
it's almost three miles from here to there.	यहाँदेखि त्यहाँसम्म करिब तीन किलोमिटर छ।
mary joined the army when she was eighteen.	मेरीअठार वर्षको हुँदा सेनामा भर्ना भएकी थिइन्।
maybe i'm the one who should be doing that.	सायद म नै हुँ जसले त्यसो गर्नु पर्छ।
tell tom that i'm working as fast as i can.	टमलाई भन्नुहोस् कि म सकेसम्म छिटो काम गरिरहेको छु।
the photographs are the only proof we have.	तस्बिरहरू मात्र हामीसँग प्रमाण हुन्।
this chair was cheap, but it's comfortable.	यो कुर्सी सस्तो थियो, तर यो सहज छ।
this is exactly what i've been looking for.	यो ठ्याक्कै मैले खोजेको कुरा हो।
this is the only way to solve this problem.	यो समस्या समाधान गर्ने एक मात्र तरिका हो।
tom asked mary to take him to the hospital.	उसलाई अस्पताल लैजान टमले मेरीलाई आग्रह गरे।
tom doesn't care whether we do that or not.	टमलाई वास्ता छैन कि हामीले त्यसो गर्छौं वा गर्दैनौं।
tom looked pretty sick when i last saw him.	मैले अन्तिम पटक देख्दा टम एकदमै बिरामी देखिन्थे।
tom said he was glad that you weren't hurt.	टमले भने तपाईलाई चोट नलागेकोमा उ खुसि थियो।
tom wanted to know who mary was talking to.	टम जान्न चाहन्थे मेरी कोसंग कुरा गर्दै थिहिन्।
tom was aware that mary was staring at him.	टमलाई थाहा थियो कि मेरीले उसलाई हेरिरहेकी छिन्।
tom was reprimanded for being rude to mary.	टमलाई मेरीसँग असभ्य व्यवहार गरेकोमा हप्काइयो।
we're worried about what might happen next.	हामी अब के हुन सक्छ भनेर चिन्तित छौं।
where is it? i've been searching for hours.	त्यो कहाँ छ? म घण्टौंदेखि खोज्दै छु ।
did you notice that tom was staring at mary?	के तपाईंले टमले मेरीलाई हेरिरहेको याद गर्नुभयो?
do you know exactly what you're looking for?	के तपाईलाई थाहा छ ठ्याकै तपाई के खोज्दै हुनुहुन्छ?
how many more days are you planning to stay?	अझै कति दिन बस्ने सोचमा हुनुहुन्छ ?
i always have trouble pronouncing that word.	मलाई त्यो शब्द उच्चारण गर्न सधैं गाह्रो हुन्छ।
i asked tom why he had never gotten married.	मैले टमलाई सोधेँ किन उसले कहिल्यै बिहे नगरेको।
i didn't really like the food that tom made.	मलाई टमले बनाएको खाना मन परेन।
i don't understand the meaning of this word.	मैले यो शब्दको अर्थ बुझिन।
i think you spend too much time watching tv.	मलाई लाग्छ तपाईं टिभी हेरेर धेरै समय बिताउनुहुन्छ।
i want to eat curry rice for supper tonight.	म आज रातको खानाको लागि भात तरकारी खान चाहन्छु।
neither tom nor mary wants to do that today.	न टम न मेरी आज त्यो गर्न चाहन्छन्।
nobody was listening to what tom was saying.	टमको कुरा कसैले सुनिरहेका थिएनन्।
sorry, i've got a lot on my plate right now.	माफ गर्नुहोस्, म अहिले निकै व्यस्त छु।
there was only one survivor of the accident.	दुर्घटनामा एकजना मात्र बाँचेका थिए।
tom asked mary to make him something to eat.	टमले मेरीलाई उसका लागी केही खानेकुरा बनाउन आग्रह गरे।
tom doesn't know why mary wanted to do that.	टमलाई थाहा छैन किन मेरीले त्यसो गर्न चाहान्थिन।
tom isn't as intelligent as you might think.	टम तपाईले सोचे जस्तो बुद्धिमानी छैन।
who's your favorite character in this movie?	यो चलचित्रमा तपाईलाई मन पर्ने पात्र को हो ?
why don't we go and see the cherry blossoms?	फूल फुलेको हेर्न जाऔं।
why don't we go and see the cherry blossoms?	हानामी मनाउन जाऔं।
why don't we go and see the cherry blossoms?	हानामी मनाउन जाने हैन?
you probably already know about our company.	सायद तपाईलाई हाम्रो कम्पनी बारेमा पहिले नै थाहा छ।
can i have two hamburgers and a coke, please?	कृपया दुईवटा ह्याम्बर्गर र एउटा कोक दिनुहोस्।
have you made plans for your summer vacation?	के तपाईंले आफ्नो गर्मी बिदाको लागि योजना बनाउनुभएको छ?
he is amusing himself by playing video games.	उनी भिडियो गेम खेलेर रमाइलो गरिरहेका छन् ।
he is amusing himself by playing video games.	उ भिडियो गेम खेलेर रमाइलो गरिरहेका छ ।
