who?	<SOS> को? <EOS>
the game was put off because of rain.	<SOS> वर्षाका कारण खेल स्थगित भएको थियो। <EOS>
the sun is setting below the horizon.	<SOS> सूर्य क्षितिज मुनि अस्ताउँदैछ। <EOS>
there's a cat in the conference room.	<SOS> सम्मेलन कक्षमा बिरालो छ। <EOS>
those two children were the same age.	<SOS> ती दुई बच्चा एउटै उमेरका थिए। <EOS>
tom and mary both enjoyed that movie.	<SOS> टम र मेरी दुबैले चलचित्रको आनन्द लिए। <EOS>
tom didn't know what the problem was.	<SOS> टमलाई समस्या के हो थाहा थिएन। <EOS>
tom has also spent time in australia.	<SOS> टमले अष्ट्रेलियामा पनि समय बिताएका छन्। <EOS>
tom isn't going to help mary do that.	<SOS> टमले मेरीलाई त्यसो गर्न मद्दत गर्ने छैन। <EOS>
tom realized that i couldn't do that.	<SOS> टमले बुझे कि म त्यो गर्न सक्दिन। <EOS>
tom refused to shake hands with mary.	<SOS> टमले मेरीसँग हात मिलाउन अस्वीकार गरे। <EOS>
tom spends a lot of money on clothes.	<SOS> टमले कपडाको लागि धेरै पैसा खर्च गर्दछ। <EOS>
tom took a book out of his briefcase.	<SOS> टमले आफ्नो ब्रिफकेसबाट एउटा किताब निकाले। <EOS>
tom was obviously not very impressed.	<SOS> टम स्पष्ट रूपमा धेरै प्रभावित थिएनन्। <EOS>
tom was the first person to sit down.	<SOS> पहिलो बस्ने व्यक्ति टम थियो। <EOS>
tom was there, but he didn't help us.	<SOS> टम त्यहाँ थियो, तर उसले हामीलाई मद्दत गरेन। <EOS>
what color is the roof of your house?	<SOS> तपाईको घरको छानो कस्तो रङको छ? <EOS>
what do you call that bird in french?	<SOS> तपाईं त्यो चरालाई फ्रेन्चमा कसरी भन्नुहुन्छ? <EOS>
what do you want to be in the future?	<SOS> भविष्यमा के बन्न चाहनुहुन्छ? <EOS>
what do you want to do in the future?	<SOS> तिमी भविष्यमा के गर्न चाहान्छौ? <EOS>
what time does that restaurant close?	<SOS> त्यो रेस्टुरेन्ट कति बजे बन्द हुन्छ? <EOS>
what website do you visit most often?	<SOS> तपाइँ प्रायः कुन वेबसाइट चलाउने गर्नुहुन्छ? <EOS>
what'll the weather be like tomorrow?	<SOS> भोलिको मौसम कस्तो रहनेछ? <EOS>
who is better at french, tom or mary?	<SOS> फ्रान्सेली मा को राम्रो छ, टम वा मेरी? <EOS>
why did you stop only the foreigners?	<SOS> तिमीले किन विदेशीलाई मात्र रोकेको ? <EOS>
why did you stop only the foreigners?	<SOS> तपाईले किन विदेशीलाई मात्र रोक्नुभएको ? <EOS>
will you please call me this evening?	<SOS> के तपाईं मलाई आज बेलुका फोन गर्न सक्नुहुन्छ? <EOS>
women generally live longer than men.	<SOS> महिलाहरु सामान्यतया पुरुषहरु भन्दा लामो समय बाँच्ने गर्दछ। <EOS>
you can never forget your first love.	<SOS> तिमीले आफ्नो पहिलो प्रेमलाई कहिल्यै भुल्न सक्दैनौ। <EOS>
you must not forget your schoolbooks.	<SOS> तिमीले आफ्नो स्कूलका किताबहरू बिर्सनु हुँदैन। <EOS>
you're the only one who wants to win.	<SOS> तपाईं मात्र एक हुनुहुन्छ जसले जित्न चाहन्छ। <EOS>
answering that question was difficult.	<SOS> त्यो प्रश्नको जवाफ दिन गाह्रो भयो। <EOS>
do you have any time to help me today?	<SOS> के तपाईसँग आज मलाई मद्दत गर्नको लागि कुनै समय छ? <EOS>
how do you say "i love you" in french?	<SOS> फ्रान्सेली भाषामा "म तिमीलाई माया गर्छु" भन्दा कसरी भन्छौ? <EOS>
how many times a day does the bus run?	<SOS> बस दिनमा कति पटक चल्छ? <EOS>
how often do you think that'll happen?	<SOS> तपाइँ कति पटक यो हुनेछ भन्ने सोच्नुहुन्छ? <EOS>
i can't leave work until five o'clock.	<SOS> म ५ बजेसम्म काम छोड्न सक्दिन। <EOS>
i haven't decided yet if i want to go.	<SOS> यदि म जान चाहन्छु कि भनेर मैले अझै निर्णय गरेको छैन। <EOS>
i haven't finished paying off my loan.	<SOS> मैले अझै पनि ऋण तिर्न सकेको छैन। <EOS>
i knew that tom was afraid of heights.	<SOS> मलाई थाहा थियो कि टम उचाइबाट डराउँछन्। <EOS>
i like white roses more than red ones.	<SOS> मलाई रातो गुलाब भन्दा सेतो गुलाब मन पर्छ। <EOS>
i need to talk to you about this soon.	<SOS> मलाई यस बारे तपाईंसँग चाँडै कुरा गर्न आवश्यक छ। <EOS>
i think i know what tom is doing here.	<SOS> टम यहाँ के गर्दैछ भनेर मलाई थाहा छ। <EOS>
i think you shouldn't have called tom.	<SOS> मलाई लाग्छ तपाईंले टमलाई बोलाउनु हुँदैनथ्यो। <EOS>
i thought that tom would want it back.	<SOS> मैले सोचे कि टमले यो फिर्ता चाहन्छ। <EOS>
i'm just buying some stuff for dinner.	<SOS> म बेलुकाको खानाको लागि केही सामान किन्दै छु। <EOS>
i'm not going to speak to tom anymore.	<SOS> म अब टमसँग कुरा गर्ने छैन। <EOS>
i'm pretty sure tom's happy in boston.	<SOS> म पक्का छु कि टम बोस्टनमा खुसी छ। <EOS>
i'm sorry to hear that tom is so sick.	<SOS> टम धेरै बिरामी भएको कुरा सुनेर मलाई दुख लाग्यो। <EOS>
i've been boxing since i was thirteen.	<SOS> म तेह्र वर्षको उमेरदेखि बक्सिङ गर्दै आएको छु। <EOS>
it has been raining since last monday.	<SOS> गत सोमबारदेखि पानी परिरहेको छ। <EOS>
it would've been unethical to do that.	<SOS> त्यसो गर्नु अनैतिक हुने थियो। <EOS>
making model planes is his only hobby.	<SOS> मोडल प्लेन बनाउनु उनको एकमात्र शौक हो। <EOS>
mathematics is an interesting subject.	<SOS> गणित एउटा रोचक विषय हो। <EOS>
only one person survived the accident.	<SOS> दुर्घटनामा एकजना मात्र बाँचेका थिए। <EOS>
the house with the green roof is mine.	<SOS> हरियो छानो भएको घर मेरो हो। <EOS>
the mountaintops are hidden by clouds.	<SOS> पहाडको चुचुरोलाई बादलले छोपेको छ । <EOS>
the store opens for business tomorrow.	<SOS> भोलिदेखि पसल खुल्नेछ। <EOS>
they went on many adventures together.	<SOS> उनीहरु सँगै धेरै साहसिक कार्यमा गए । <EOS>
this is a poem written by tom jackson.	<SOS> यो टम ज्याक्सन द्वारा लेखिएको कविता हो। <EOS>
this is the perfect father's day gift.	<SOS> यो उत्तम बुबाको मुख हेर्ने दिनको उपहार हो। <EOS>
tom always blames mary for everything.	<SOS> टमले सधैं सबै कुरामा मेरीलाई दोष दिन्छ। <EOS>
tom and i danced together all evening.	<SOS> टम र मैले पुरै साँझमा सँगै नाच्यौं। <EOS>
tom didn't do what you told him to do.	<SOS> टमले तपाईंले उसलाई जे गर्न भन्नुभएको थियो त्यो गरेन। <EOS>
tom died when he was thirty years old.	<SOS> तीस वर्षको हुँदा टमको मृत्यु भयो। <EOS>
tom doesn't like to talk about boston.	<SOS> टम बोस्टनको बारेमा कुरा गर्न मन पराउँदैनन्। <EOS>
tom has an umbrella, but mary doesn't.	<SOS> टमसँग छाता छ, तर मेरीसँग छैन। <EOS>
tom is a very talented young director.	<SOS> टम धेरै प्रतिभाशाली युवा निर्देशक हुन्। <EOS>
tom is probably still waiting for you.	<SOS> टम सायद अझै तपाइँको लागि पर्खिरहेको छ। <EOS>
tom is probably still waiting for you.	<SOS> टम सायद अझै तिम्रो लागि पर्खिरहेको छ। <EOS>
tom is the one who gave me this apple.	<SOS> टम एक हो जसले मलाई यो स्याउ दियो। <EOS>
tom is the one who told us what to do.	<SOS> टम एक हो जसले हामीलाई के गर्ने भन्यो। <EOS>
tom isn't as intelligent as you think.	<SOS> टम तपाईले सोचे जस्तो बुद्धिमानी छैन। <EOS>
tom probably went to a friend's house.	<SOS> टम सायद साथीको घरमा गएको छ। <EOS>
tom says he doesn't like his nickname.	<SOS> टम भन्छन् कि उसलाई आफ्नो उपनाम मन पर्दैन। <EOS>
tom translated the letter into french.	<SOS> टमले पत्रलाई फ्रेन्चमा अनुवाद गर्यो। <EOS>
tom was hoping we'd do that with mary.	<SOS> टमलाई आशा थियो कि हामीले मरियमसँग त्यसो गर्नेछौं। <EOS>
tom was supposed to help me on monday.	<SOS> टमले मलाई सोमबार मद्दत गर्ने थियो। <EOS>
tom wasn't the only one who drank tea.	<SOS> चिया पिउने टम मात्र थिएनन्। <EOS>
tom will never become a good musician.	<SOS> टम कहिल्यै राम्रो संगीतकार बन्ने छैन। <EOS>
we tried it again, but couldn't do it.	<SOS> हामीले फेरि प्रयास गर्यौ तर गर्न सकेनौ। <EOS>
we want a woman who's good at cooking.	<SOS> हामी खाना पकाउन माहिर महिला चाहान्छौं। <EOS>
what kind of person do you want to be?	<SOS> तपाई कस्तो मान्छे बन्न चाहनुहुन्छ? <EOS>
what's the weather like in boston now?	<SOS> बोस्टनको मौसम अहिले कस्तो छ? <EOS>
when i got up, it was snowing outside.	<SOS> म उठ्दा खेरि बाहिर हिउँ परिरहेको थियो। <EOS>
why does tom like living in australia?	<SOS> टम किन अस्ट्रेलियामा बस्न मन पराउँछन्? <EOS>
you don't have to take off your socks.	<SOS> तपाईंले आफ्नो मोजाहरू फुकाउन आवश्यक छैन। <EOS>
you know tom won't do that, don't you?	<SOS> तपाईलाई थाहा छ टमले त्यसो गर्दैन, हैन? <EOS>
you need to be a bit more cooperative.	<SOS> तिमि अलि बढी सहयोगी बन्न जरुरी छ । <EOS>
you need to hire people you can trust.	<SOS> तपाईंले विश्वास गर्न सक्ने व्यक्तिहरूलाई भर्ना गर्न आवश्यक छ। <EOS>
are you waiting for me to do something?	<SOS> के तिमी मलाई केही गर्न लगाउन पर्खिरहेका छौ? <EOS>
can't you and tom stay a little longer?	<SOS> के तपाईं र टम केही समय बस्न सक्नुहुन्न? <EOS>
do you know anybody who teaches french?	<SOS> के तपाइँ फ्रान्सेली सिकाउने कसैलाई चिन्नुहुन्छ? <EOS>
don't blame yourself for what happened.	<SOS> जे भयो त्यसको लागि आफैलाई दोष नदिनुहोस्। <EOS>
don't forget to thank tom for the gift.	<SOS> उपहारको लागि टमलाई धन्यवाद दिन नबिर्सनुहोस्। <EOS>
don't you have something to say to tom?	<SOS> के तपाइँसँग टमलाई भन्न केहि छैन? <EOS>
don't you think we should raise prices?	<SOS> तपाईंलाई हामीले मूल्यवृद्धि गर्नुपर्छ जस्तो लाग्दैन ? <EOS>
how many of you drink coffee every day?	<SOS> तपाईहरु मध्ये कति जना हरेक दिन कफी पिउनुहुन्छ? <EOS>
i didn't know that tom was from boston.	<SOS> टम बोस्टनबाट आएको मलाई थाहा थिएन। <EOS>
i don't like it when people yell at me.	<SOS> मानिसहरूले मलाई चिच्याएको मलाई यो मन पर्दैन। <EOS>
i don't think this is a very good idea.	<SOS> मलाई लाग्दैन कि यो एकदम राम्रो विचार हो। <EOS>
i don't think this is a very good idea.	<SOS> मलाई लाग्दैन कि यो धेरै राम्रो विचार हो। <EOS>
i don't think you'll have that problem.	<SOS> मलाई लाग्दैन कि तपाईलाई त्यो समस्या हुनेछ। <EOS>
i have enough sandwiches for everybody.	<SOS> मसँग सबैजनाका लागि स्यान्डविचहरू छन्। <EOS>
i jumped out of bed and ran downstairs.	<SOS> म ओछ्यानबाट हाम फालेर तल दगुरेँ। <EOS>
i told tom a joke, but he didn't laugh.	<SOS> मैले टमलाई चुड्किला भनेँ, तर ऊ हाँसेन। <EOS>
i'm drinking water because i'm thirsty.	<SOS> तिर्खा लागेकोले पानी पिउदै छु । <EOS>
i'm from australia. where are you from?	<SOS> म अस्ट्रेलिया बाट हुँ। तिमी कहाँको हौं? <EOS>
i'm from australia. where are you from?	<SOS> म अस्ट्रेलिया बाट हुँ। तपाईं कहाँबाट हुनुहुन्छ? <EOS>
i'm from australia. where are you from?	<SOS> म अष्ट्रेलियाबाट आएको हुँ। तपाईं कहाँबाट हुनुहुन्छ? <EOS>
i'm from australia. where are you from?	<SOS> म अस्ट्रेलिया बाट हुँ। तिमी कहाँबाट हौ? <EOS>
many japanese travel abroad every year.	<SOS> हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्। <EOS>
oranges are a good source of vitamin c.	<SOS> सुन्तला भिटामिन सी को राम्रो स्रोत हो। <EOS>
please send in your summary by tuesday.	<SOS> कृपया मङ्गलबारसम्म आफ्नो सारांश पठाउनुहोस्। <EOS>
raise your hand if you have a question.	<SOS> यदि तपाइँसँग कुनै प्रश्न छ भने हात उठाउनुहोस्। <EOS>
thanks in advance for your suggestions.	<SOS> तपाईंको सुझावहरूको लागि अग्रिम धन्यवाद। <EOS>
the last time i saw tom was in october.	<SOS> अन्तिम पटक मैले टमलाई अक्टोबरमा देखेको थिएँ। <EOS>
there are a lot of things tom won't do.	<SOS> त्यहाँ धेरै चीजहरू छन् जुन टमले गर्नेछैन। <EOS>
there's someone waiting for me outside.	<SOS> बाहिर कोही मलाई पर्खिरहेको छ। <EOS>
tom finally got here around lunch time.	<SOS> टम अन्ततः खाजाको समयको आसपासमा यहाँ आइपुगे। <EOS>
tom hasn't taken a bath in a long time.	<SOS> टमले लामो समयदेखि नुहाएको छैन। <EOS>
tom is still in love with you, i think.	<SOS> मलाई लाग्छ, टम अझै पनि तपाईंसँग प्रेममा छ। <EOS>
tom looks cool no matter what he wears.	<SOS> टमले जस्तोसुकै लगाए पनि राम्रो देखिन्छ। <EOS>
tom was showing mary how to fly a kite.	<SOS> टमले मेरीलाई चङ्गा उडाउने तरिका देखाउँदै थिए। <EOS>
tom went straight home after the party.	<SOS> टम पार्टी पछि सिधै घर गए। <EOS>
tom wouldn't be happy if mary did that.	<SOS> यदि मेरीले त्यसो गरिन् भने टम खुसी हुनेछैनन्। <EOS>
ulaanbaatar is the capital of mongolia.	<SOS> उलानबाटार मंगोलियाको राजधानी हो। <EOS>
we have three televisions in our house.	<SOS> हाम्रो घरमा तीनवटा टिभी छन्। <EOS>
why do you think tom went to australia?	<SOS> तपाईलाई टम किन अष्ट्रेलिया गएको जस्तो लाग्छ? <EOS>
you know this isn't where i want to be.	<SOS> तिमीलाई थाहा छ यो त्यो ठाउँ होइन जहाँ म हुन चाहन्छु। <EOS>
you're feeling very sleepy, aren't you?	<SOS> तपाईलाई धेरै निद्रा लागेको छ, हैन? <EOS>
you're feeling very sleepy, aren't you?	<SOS> तिमीलाई धेरै निद्रा लागेको छ, हैन? <EOS>
a man can't be judged by his appearance.	<SOS> मानिसलाई उसको रूपले मूल्याङ्कन गर्न सकिँदैन। <EOS>
do you know what's going to happen next?	<SOS> के तपाईलाई थाहा छ अब के हुने छ? <EOS>
do you really think you need to do that?	<SOS> के तपाई साँच्चै सोच्नुहुन्छ कि तपाईले त्यसो गर्नु आवश्यक छ? <EOS>
every year, many japanese travel abroad.	<SOS> हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्। <EOS>
germany is about half the size of texas.	<SOS> जर्मनी टेक्सासको आधा आकारको छ। <EOS>
germany is about the same size as japan.	<SOS> जर्मनीको आकार जापान जत्तिकै छ। <EOS>
he made a great fortune in his lifetime.	<SOS> उसले जिन्दगीमा धेरै सम्पति जोड्यो। <EOS>
i can't understand what you said at all.	<SOS> तपाईंले के भन्नुभयो मैले केही पनी बुझ्न सकिन। <EOS>
i don't know how long i'll be in boston.	<SOS> मलाई थाहा छैन म कहिलेसम्म बोस्टनमा बस्छु। <EOS>
i don't know why you're studying french.	<SOS> मलाई थाहा छैन तिमी किन फ्रेन्च पढ्दै छौ। <EOS>
i don't remember how to spell your name.	<SOS> तिम्रो नाम कसरी लेख्ने मलाई याद छैन। <EOS>
i knew that tom was in his room reading.	<SOS> मलाई थाहा थियो कि टम आफ्नो कोठामा पढिरहेको थियो। <EOS>
i like white roses better than red ones.	<SOS> मलाई रातो गुलाब भन्दा सेतो गुलाब मन पर्छ। <EOS>
i think tom won't be nervous doing that.	<SOS> मलाई लाग्छ कि टम त्यसो गर्दा नर्भस हुनेछैन। <EOS>
i usually eat rice at least twice a day.	<SOS> म सामान्यतया दिनमा कम्तिमा दुई पटक भात खान्छु। <EOS>
i went to the airport to meet my father.	<SOS> बुबालाई भेट्न एयरपोर्ट गएँ। <EOS>
i'd be willing to help if you need help.	<SOS> यदि तपाईंलाई मद्दत चाहिन्छ भने, म मद्दत गर्न सक्छु। <EOS>
i'm not convinced ghosts actually exist.	<SOS> भूतहरू वास्तवमा छन् भन्ने कुरामा म विश्वस्त छैन। <EOS>
i'm not particularly good at doing that.	<SOS> म त्यसो गर्नमा खासै राम्रो छैन। <EOS>
i'm sorry, could you repeat that please?	<SOS> कृपया मलाई माफ गर्नुहोस्, फेरी एक पटक दोहोर्याउन सक्नुहुन्छ? <EOS>
i'm very interested in irish folk music.	<SOS> मलाई आयरिश लोक संगीतमा धेरै रुचि छ। <EOS>
i've finished preparations for tomorrow.	<SOS> भोलिको तयारी पूरा गरिसकेको छु। <EOS>
it has developed into a very large city.	<SOS> यो एक धेरै ठूलो शहर मा विकसित भएको छ। <EOS>
it is rumored that he has gone bankrupt.	<SOS> ऊ टाट पल्टियो भन्ने हल्ला छ। <EOS>
thank you very much for your suggestion.	<SOS> तपाईको सुझावको लागि धेरै धेरै धन्यवाद। <EOS>
that old house is thought to be haunted.	<SOS> त्यो पुरानो घरमा तर्साउने गरेको मानिन्छ । <EOS>
the tickets i bought are non-refundable.	<SOS> मैले किनेका टिकटहरू फिर्ता हुदैनन्। <EOS>
there are some empty bottles in the box.	<SOS> बाकसमा खाली बोतलहरु छन्। <EOS>
tom couldn't read until he was thirteen.	<SOS> टमले तेह्र वर्षको नहुँदासम्म पढ्न सकेनन्। <EOS>
tom doesn't have a girlfriend right now.	<SOS> टमको अहिले कुनै प्रेमिका छैन। <EOS>
tom has asked me to lend him some money.	<SOS> टमले मलाई केही पैसा उधारो दिन आग्रह गरेको छ। <EOS>
tom is a billionaire, not a millionaire.	<SOS> टम अर्बपति हो, करोडपति होइन। <EOS>
tom is all alone with no one to talk to.	<SOS> टम एक्लै छ जससँग कुरा गर्न कोही छैन। <EOS>
tom isn't here. do you know where he is?	<SOS> टम यहाँ छैन। ऊ कहाँ छ थाहा छ? <EOS>
tom probably went to his friend's house.	<SOS> टम सायद साथीको घरमा गएको छ। <EOS>
tom showed mary where he kept his money.	<SOS> टमले मेरीलाई आफ्नो पैसा कहाँ राखेको देखाए । <EOS>
tom will never forgive us if we do that.	<SOS> यदि हामीले त्यसो गर्यौं भने टमले हामीलाई कहिल्यै माफ गर्नेछैन। <EOS>
we have a dog, a cat and three canaries.	<SOS> हामीसँग एउटा कुकुर, एउटा बिरालो र तीनवटा क्यानरीहरू छन्। <EOS>
you don't need to finish it by tomorrow.	<SOS> तपाईंले यसलाई भोलिसम्म पूरा गर्न आवश्यक छैन। <EOS>
you may come visit whenever you want to.	<SOS> तपाईले चाहानु भएको बेला घुम्न आउन सक्नुहुन्छ। <EOS>
you'd better stay in bed for a few days.	<SOS> तपाईं केही दिन ओछ्यानमै बस्नु राम्रो हुन्छ। <EOS>
a lot of companies will do that nowadays.	<SOS> आजकल धेरै कम्पनीहरूले त्यसो गर्नेछन्। <EOS>
how many times a week do you take a bath?	<SOS> तपाईं हप्तामा कति पटक नुहाउनुहुन्छ? <EOS>
i don't feel like studying english today.	<SOS> आज मलाई अंग्रेजी पढ्न मन लागेको छैन। <EOS>
i don't know how long it's going to take.	<SOS> मलाई थाहा छैन यसले कति समय लिन्छ। <EOS>
i don't think i'll ever understand women.	<SOS> मलाई लाग्दैन कि मैले महिलालाई कहिल्यै बुझ्नेछु। <EOS>
i don't want to go to australia with you.	<SOS> म तिमीसँग अस्ट्रेलिया जान चाहन्न। <EOS>
i first met tom when he was 13 years old.	<SOS> मैले पहिलो पटक टमलाई ऊ १३ वर्षको हुँदा भेटेको थिएँ। <EOS>
i think you've got a really bad attitude.	<SOS> मलाई लाग्छ कि तपाईंले साँच्चै नराम्रो मनोवृत्ति पाउनुभएको छ। <EOS>
i waited by myself in front of the hotel.	<SOS> म होटल अगाडि एक्लै पर्खिरहेको थिएँ । <EOS>
i want to become a doctor like my father.	<SOS> म मेरो बुबा जस्तै डाक्टर बन्न चाहन्छु। <EOS>
i want to get out of the car and stretch.	<SOS> म कारबाट बाहिर निस्कन र जिउ तन्काउन चाहन्छु। <EOS>
i'd like a room facing the ocean instead.	<SOS> म यसको सट्टा समुद्रतिर फर्केको कोठा चाहन्छु। <EOS>
i'll be with tom all next week in boston.	<SOS> म अर्को हप्ता बोस्टनमा टमसँग हुनेछु। <EOS>
it was difficult to answer that question.	<SOS> त्यो प्रश्नको जवाफ दिन गाह्रो भयो। <EOS>
it's fun to learn about foreign cultures.	<SOS> विदेशी संस्कृतिको बारेमा जान्न पाउँदा रमाइलो हुन्छ। <EOS>
it's fun to learn about foreign cultures.	<SOS> विदेशी संस्कृतिको बारेमा जान्न रमाइलो हुन्छ। <EOS>
many japanese travel overseas every year.	<SOS> हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्। <EOS>
mary wore a strapless dress to the party.	<SOS> मेरीले पार्टीमा स्ट्र्यापलेस पोशाक लगाएकी थिइन्। <EOS>
my mother is strict, but my father isn't.	<SOS> मेरी आमा कडा हुनुहुन्छ, तर बुबा त्यस्तो हुनुहुन्न। <EOS>
thank you for teaching me so many things.	<SOS> मलाई धेरै कुरा सिकाउनु भएकोमा धन्यवाद। <EOS>
the truth can be more painful than a lie.	<SOS> सत्य झूट भन्दा धेरै पीडादायी हुन सक्छ। <EOS>
the young man that you saw is my brother.	<SOS> तिमीले देखेको युवक मेरो भाइ हो। <EOS>
there is a suspension bridge ahead of us.	<SOS> हाम्रो अगाडि एउटा झोलुङ्गे पुल छ। <EOS>
there's a beautiful bridge over the pond.	<SOS> त्यो पोखरीको वरिपरि सुन्दर पुल छ। <EOS>
tom and i danced together all night long.	<SOS> टम र म सँगै रातभर नाच्यौं। <EOS>
tom first came to boston three years ago.	<SOS> टम पहिलो पटक तीन वर्ष पहिले बोस्टन आएका थिए। <EOS>
tom gave almost all his money to charity.	<SOS> टमले आफ्नो प्रायः सबै पैसा परोपकारलाई दिए। <EOS>
tom put himself and his children at risk.	<SOS> टमले आफू र आफ्ना छोराछोरीलाई जोखिममा राखे। <EOS>
tom told me that he hasn't done that yet.	<SOS> टमले मलाई भन्यो कि उसले त्यो अहिलेसम्म गरेको छैन। <EOS>
tom wasn't able to get the motor started.	<SOS> टम मोटर सुरु गर्न सक्षम थिएन। <EOS>
tom will be able to do what he has to do.	<SOS> टमले आफूले गर्नुपर्ने काम गर्न सक्षम हुनेछ। <EOS>
we're beginning a long and difficult job.	<SOS> हामी लामो र कठिन काम सुरु गर्दैछौं। <EOS>
what time did you go to sleep last night?	<SOS> हिजो राति कति बजे सुत्नु भएको थियो ? <EOS>
without me, you won't be able to do that.	<SOS> म बिना, तपाईं त्यो गर्न सक्षम हुनुहुने छैन। <EOS>
would it be ok if i turned off the radio?	<SOS> के म रेडियो बन्द गर्न सक्छु? <EOS>
would it be ok if i turned the radio off?	<SOS> के म रेडियो बन्द गर्न सक्छु? <EOS>
would you mind if i turned off the radio?	<SOS> के म रेडियो बन्द गर्न सक्छु? <EOS>
would you mind if i turned the radio off?	<SOS> के म रेडियो बन्द गर्न सक्छु? <EOS>
you don't have to answer these questions.	<SOS> तपाईंले यी प्रश्नहरूको जवाफ दिनु पर्दैन। <EOS>
"what time is it now?" "it's ten o'clock."	<SOS> "अहिले कति बज्यो?" "दश बज्यो।" <EOS>
a lot of people are starving in the world.	<SOS> विश्वमा धेरै मानिस भोकै छन्। <EOS>
cats were sacred animals in ancient egypt.	<SOS> बिरालाहरू प्राचीन इजिप्टमा पवित्र जनावरहरू थिए। <EOS>
did i ever tell you why i moved to boston?	<SOS> म किन बोस्टनमा सरेँ भनेर के मैले तपाईंलाई कहिल्यै बताएको छु? <EOS>
do you spend more time at home or at work?	<SOS> तपाई घरमा कि काममा धेरै समय बिताउनुहुन्छ? <EOS>
every year, many japanese travel overseas.	<SOS> हरेक वर्ष धेरै जापानीजहरु विदेश भ्रमण गर्दछन्। <EOS>
he is the greatest singer that ever lived.	<SOS> उनी अहिलेसम्मकै उत्कृष्ट गायक हुन्। <EOS>
how many languages can you speak fluently?	<SOS> तपाईं कतिवटा भाषाहरू सजिलै बोल्न सक्नुहुन्छ? <EOS>
i haven't the faintest idea what you mean.	<SOS> तपाईले के भन्न खोज्दै हुनुहुन्छ मलाई केहि थाहा छैन। <EOS>
i like rice, but i don't eat it every day.	<SOS> मलाई भात मनपर्छ, तर म हरेक दिन खान्न। <EOS>
i really don't understand what's so funny.	<SOS> म साँच्चै बुझ्न सक्दिन कि यति हास्यास्पद के हो। <EOS>
i'd like to stay here for a few more days.	<SOS> म अझै केही दिन यहाँ बस्न चाहन्छु। <EOS>
i'll meet up with you guys this afternoon.	<SOS> म आज दिउँसो तपाईंहरूसँग भेट गर्नेछु। <EOS>
i'm not the kind of person you think i am.	<SOS> म तिमीले सोचेको जस्तो मान्छे होइन। <EOS>
i'm not used to making speeches in public.	<SOS> मलाई सार्वजनिक रूपमा भाषण गर्ने बानी छैन। <EOS>
i'm really looking forward to tom's visit.	<SOS> म साँच्चै टमको भ्रमणको लागि पर्खिरहेको छु। <EOS>
i'm sure that tom feels the same way i do.	<SOS> म पक्का छु कि टमले पनि मैले जस्तै महसुस गर्छ। <EOS>
mark the words that you cannot understand.	<SOS> तपाईंले नबुझेका शब्दहरूमा चिन्ह लगाउनुहोस्। <EOS>
the policeman took the knife from the boy.	<SOS> प्रहरी जवानले केटाबाट छुरी लिए। <EOS>
the question is who will go there for tom.	<SOS> प्रश्न यो छ, टमको लागि त्यहाँ को जानेछ? <EOS>
the weight of the snow broke the branches.	<SOS> हिउँको बोझले हाँगा भाँचियो। <EOS>
there is a parking lot behind the theater.	<SOS> थिएटरको पछाडि एउटा पार्किङ छ। <EOS>
this is one of the best-selling cookbooks.	<SOS> यो सबैभन्दा धेरै बिक्री हुने कुकबुकहरू मध्ये एक हो। <EOS>
today's a bit warmer than usual, isn't it?	<SOS> आज अरुबेला भन्दा अलि बढी गर्मी छ है ? <EOS>
tom didn't seem to know anything about it.	<SOS> टमलाई यसबारे सबै थाहा भए जस्तो देखिदैनथ्यो। <EOS>
tom doesn't seem to agree with you at all.	<SOS> टम तपाईंसँग बिलकुलै सहमत छैन जस्तो देखिन्छ। <EOS>
tom doesn't seem to agree with you at all.	<SOS> टम तपाईंसँग बिलकुल सहमत छ जस्तो देखिँदैन। <EOS>
tom doesn't seem to be enjoying the party.	<SOS> टम पार्टीको मजा लिइरहेको जस्तो देखिदैन। <EOS>
tom gave his father a tie on father's day.	<SOS> टमले आफ्नो बुबालाई फादर्स डेमा टाई दिए। <EOS>
tom gave his father a tie on father's day.	<SOS> टमले आफ्नो बुबालाई बुबा को मुख हेर्ने दिनमा टाई दिए। <EOS>
tom has a friend who is a wrestling coach.	<SOS> टमको एक साथी छन् जो कुश्तीका प्रशिक्षक हुन्। <EOS>
tom no longer works as much as he used to.	<SOS> टमले पहिलेको जस्तो काम गर्दैनन्। <EOS>
tom said something that he shouldn't have.	<SOS> टमले आफुले भन्न नहुने कुरा भने। <EOS>
tom should be getting ready for the party.	<SOS> टम पार्टीको लागि तयार हुनुपर्दछ। <EOS>
tom told mary that he'd agreed to do that.	<SOS> टमले मेरीलाई भने कि उनी त्यसो गर्न सहमत छन्। <EOS>
tom was kind of chubby in the third grade.	<SOS> टम तेस्रो कक्षामा एक प्रकारको मोटो थियो। <EOS>
what does being a good mother mean to you?	<SOS> तपाईलाई असल आमा हुनुको अर्थ के हो? <EOS>
why did tom decide not to go to australia?	<SOS> टमले किन अस्ट्रेलिया नजाने निर्णय गरे? <EOS>
